label,rank,gene,feature_name,target_minus_others_z
0,1,LOC728264,LOC728264|728264,1.4768484344357649
0,2,SPRY2,SPRY2|10253,1.4537367933103935
0,3,KLHL29,KLHL29|114818,1.4477625594197714
0,4,PAMR1,PAMR1|25891,1.4315735624407384
0,5,CNN1,CNN1|1264,1.4233203470198252
0,6,TSLP,TSLP|85480,1.4105617731116151
0,7,CX3CL1,CX3CL1|6376,1.3938066026491147
0,8,CAPN11,CAPN11|11131,1.36977077654742
0,9,MYH11,MYH11|4629,1.3643481685513923
0,10,LMOD1,LMOD1|25802,1.3602777673455155
0,11,SYNM,SYNM|23336,1.3467809883277693
0,12,CLDN19,CLDN19|149461,1.3440363969132654
0,13,GPRASP1,GPRASP1|9737,1.3411352313343274
0,14,MAMDC2,MAMDC2|256691,1.335985937261141
0,15,C2ORF40,C2orf40|84417,1.3306447432272597
0,16,C10ORF90,C10orf90|118611,1.326260226920048
0,17,TCEAL7,TCEAL7|56849,1.3037769255329228
0,18,CLDN11,CLDN11|5010,1.2992786988265568
0,19,SCN4B,SCN4B|6330,1.2987560881134432
0,20,NRG2,NRG2|9542,1.29667973413836
0,21,SDPR,SDPR|8436,1.294097173349348
0,22,SCN2B,SCN2B|6327,1.2775406142993564
0,23,EPHB1,EPHB1|2047,1.2717409716808494
0,24,CNTNAP3,CNTNAP3|79937,1.2668399564190138
0,25,IFFO2,IFFO2|126917,1.2623799817402395
0,26,PRNP,PRNP|5621,1.2598282475300224
0,27,MAB21L1,MAB21L1|4081,1.246866973135853
0,28,GPM6B,GPM6B|2824,1.2333330562567384
0,29,LEPREL1,LEPREL1|55214,1.226155261807681
0,30,LOC284578,LOC284578|284578,1.2236283796959122
1,1,CXORF61,CXorf61|203413,1.9488430812972382
1,2,HORMAD1,HORMAD1|84072,1.9440608964315085
1,3,ART3,ART3|419,1.9172984517043694
1,4,PRSS33,PRSS33|260429,1.8589529647795562
1,5,POU4F1,POU4F1|5457,1.8376441581951664
1,6,GABBR2,GABBR2|9568,1.834236721483152
1,7,LEMD1,LEMD1|93273,1.8297201756165067
1,8,EN1,EN1|2019,1.8120346529572657
1,9,CCKBR,CCKBR|887,1.8017670769976633
1,10,PRDM13,PRDM13|59336,1.7932699120842488
1,11,FZD9,FZD9|8326,1.7853896240982525
1,12,FOXC1,FOXC1|2296,1.7835598728673072
1,13,SFRS13B,SFRS13B|135295,1.7756583528514316
1,14,DMRT1,DMRT1|1761,1.7698652807255586
1,15,CXORF49B,CXorf49B|100132994,1.761135278767449
1,16,C6ORF218,C6orf218|221718,1.7443803909992612
1,17,A2ML1,A2ML1|144568,1.7367370699007625
1,18,C9ORF170,C9orf170|401535,1.7212070137321547
1,19,SFT2D2,SFT2D2|375035,1.71375689881988
1,20,LIN28B,LIN28B|389421,1.7040076086118434
1,21,CCNE1,CCNE1|898,1.6994048477520758
1,22,CENPW,CENPW|387103,1.6912735638123955
1,23,IGF2BP3,IGF2BP3|10643,1.6891499942748922
1,24,TTLL4,TTLL4|9654,1.6856388502227184
1,25,YBX1,YBX1|4904,1.6729026479167461
1,26,MTHFD1L,MTHFD1L|25902,1.6713611738404806
1,27,CDC123,CDC123|8872,1.6672142403653463
1,28,TMCC2,TMCC2|9911,1.6659902980777435
1,29,CDK2AP1,CDK2AP1|8099,1.6634727117014987
1,30,SLC26A9,SLC26A9|115019,1.6633432557583372
2,1,MPHOSPH6,MPHOSPH6|10200,1.8908715277091916
2,2,ISL2,ISL2|64843,1.574174830552719
2,3,SOX11,SOX11|6664,1.509742578438238
2,4,ACE2,ACE2|59272,1.0697812017266093
2,5,MDGA2,MDGA2|161357,1.0181595906771943
2,6,SRD5A1,SRD5A1|6715,1.0129576963250946
2,7,CBX2,CBX2|84733,1.00672338532511
2,8,DNMT3B,DNMT3B|1789,0.9965848375204405
2,9,C16ORF57,C16orf57|79650,0.9633772058611596
2,10,ULBP2,ULBP2|80328,0.9581806595959601
2,11,PSMD14,PSMD14|10213,0.9360237273073045
2,12,CENPN,CENPN|55839,0.9352031410409608
2,13,SLC25A13,SLC25A13|10165,0.9317044657174282
2,14,PSAT1,PSAT1|29968,0.916527829225049
2,15,C1ORF106,C1orf106|55765,0.90438079743961
2,16,DONSON,DONSON|29980,0.8821374170281265
2,17,GARS,GARS|2617,0.8691237636023834
2,18,PSME4,PSME4|23198,0.8643051130455925
2,19,CYP4Z2P,CYP4Z2P|163720,0.854221035379679
2,20,POLR2D,POLR2D|5433,0.8456870612305015
2,21,CDC6,CDC6|990,0.8389471617571628
2,22,DBF4,DBF4|10926,0.8338052905786844
2,23,TUBB,TUBB|203068,0.8265254735928081
2,24,ABCC11,ABCC11|85320,0.8191116220236154
2,25,C16ORF61,C16orf61|56942,0.8187818431156486
2,26,C11ORF75,C11orf75|56935,0.8139093973869703
2,27,GMPS,GMPS|8833,0.8132482773177443
2,28,CCNE1,CCNE1|898,0.8045246527905201
2,29,SLC15A1,SLC15A1|6564,0.7954168790519106
2,30,SHCBP1,SHCBP1|79801,0.7914861487851945
3,1,KDM4B,KDM4B|23030,1.0211857259797672
3,2,GPR77,GPR77|27202,1.0141637188461874
3,3,MAPT,MAPT|4137,1.0097713180620729
3,4,?,?|90288,0.994770240229012
3,5,NAT1,NAT1|9,0.9863526737865571
3,6,SLC7A8,SLC7A8|23428,0.9833007918096512
3,7,ABAT,ABAT|18,0.9675960504014373
3,8,TBC1D9,TBC1D9|23158,0.9611363978661541
3,9,KCNJ11,KCNJ11|3767,0.9557936557481537
3,10,LOC100130148,LOC100130148|100130148,0.9515427186031913
3,11,IGFALS,IGFALS|3483,0.9503147913020895
3,12,ESR1,ESR1|2099,0.9488897507145413
3,13,MLPH,MLPH|79083,0.9467160840753469
