run_id,subtype_id,subtype,support,precision,recall,f1
1,0,Luminal A,35.0,0.64,0.9142857142857143,0.7529411764705883
1,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
1,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
1,3,Basal-like,131.0,0.957983193277311,0.8702290076335878,0.912
1,4,Normal-like,44.0,0.8297872340425532,0.8863636363636364,0.8571428571428571
2,0,Luminal A,35.0,0.6530612244897959,0.9142857142857143,0.7619047619047618
2,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
2,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
2,3,Basal-like,131.0,0.959349593495935,0.9007633587786259,0.9291338582677164
2,4,Normal-like,44.0,0.8837209302325582,0.8636363636363636,0.8735632183908046
3,0,Luminal A,35.0,0.7073170731707317,0.8285714285714286,0.7631578947368421
3,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
3,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
3,3,Basal-like,131.0,0.9426229508196722,0.8778625954198473,0.9090909090909092
3,4,Normal-like,44.0,0.7647058823529411,0.8863636363636364,0.8210526315789474
4,0,Luminal A,35.0,0.7714285714285715,0.7714285714285715,0.7714285714285715
4,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
4,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
4,3,Basal-like,131.0,0.9090909090909091,0.916030534351145,0.9125475285171103
4,4,Normal-like,44.0,0.7872340425531915,0.8409090909090909,0.8131868131868133
5,0,Luminal A,35.0,0.7368421052631579,0.8,0.7671232876712328
5,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
5,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
5,3,Basal-like,131.0,0.9384615384615385,0.9312977099236641,0.9348659003831418
5,4,Normal-like,44.0,0.8478260869565217,0.8863636363636364,0.8666666666666666
6,0,Luminal A,35.0,0.7435897435897436,0.8285714285714286,0.7837837837837838
6,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
6,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
6,3,Basal-like,131.0,0.937984496124031,0.9236641221374046,0.9307692307692308
6,4,Normal-like,44.0,0.851063829787234,0.9090909090909091,0.8791208791208791
7,0,Luminal A,35.0,0.7368421052631579,0.8,0.7671232876712328
7,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
7,2,HER2-enriched,14.0,0.8461538461538461,0.7857142857142857,0.8148148148148148
7,3,Basal-like,131.0,0.9512195121951219,0.8931297709923665,0.9212598425196851
7,4,Normal-like,44.0,0.7592592592592593,0.9318181818181818,0.836734693877551
8,0,Luminal A,35.0,0.7,0.8,0.7466666666666666
8,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
8,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
8,3,Basal-like,131.0,0.9365079365079365,0.9007633587786259,0.9182879377431906
8,4,Normal-like,44.0,0.7916666666666666,0.8636363636363636,0.8260869565217391
9,0,Luminal A,35.0,0.6976744186046512,0.8571428571428571,0.7692307692307693
9,1,Luminal B,39.0,0.9722222222222222,0.8974358974358975,0.9333333333333333
9,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
9,3,Basal-like,131.0,0.9296875,0.9083969465648855,0.918918918918919
9,4,Normal-like,44.0,0.8604651162790697,0.8409090909090909,0.8505747126436781
10,0,Luminal A,35.0,0.7567567567567568,0.8,0.7777777777777778
10,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
10,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
10,3,Basal-like,131.0,0.9448818897637795,0.916030534351145,0.9302325581395349
10,4,Normal-like,44.0,0.7843137254901961,0.9090909090909091,0.8421052631578948
11,0,Luminal A,35.0,0.6595744680851063,0.8857142857142857,0.7560975609756098
11,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
11,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
11,3,Basal-like,131.0,0.9512195121951219,0.8931297709923665,0.9212598425196851
11,4,Normal-like,44.0,0.8478260869565217,0.8863636363636364,0.8666666666666666
12,0,Luminal A,35.0,0.6382978723404256,0.8571428571428571,0.7317073170731707
12,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
12,2,HER2-enriched,14.0,0.7058823529411765,0.8571428571428571,0.7741935483870968
12,3,Basal-like,131.0,0.9296875,0.9083969465648855,0.918918918918919
12,4,Normal-like,44.0,0.9166666666666666,0.75,0.8250000000000001
13,0,Luminal A,35.0,0.6444444444444445,0.8285714285714286,0.7250000000000001
13,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
13,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
13,3,Basal-like,131.0,0.9508196721311475,0.8854961832061069,0.9169960474308301
13,4,Normal-like,44.0,0.8297872340425532,0.8863636363636364,0.8571428571428571
14,0,Luminal A,35.0,0.6274509803921569,0.9142857142857143,0.7441860465116279
14,1,Luminal B,39.0,1.0,0.8461538461538461,0.9166666666666666
14,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
14,3,Basal-like,131.0,0.957983193277311,0.8702290076335878,0.912
14,4,Normal-like,44.0,0.8085106382978723,0.8636363636363636,0.8351648351648351
15,0,Luminal A,35.0,0.6744186046511628,0.8285714285714286,0.7435897435897435
15,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
15,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
15,3,Basal-like,131.0,0.9508196721311475,0.8854961832061069,0.9169960474308301
15,4,Normal-like,44.0,0.8,0.9090909090909091,0.8510638297872342
16,0,Luminal A,35.0,0.6595744680851063,0.8857142857142857,0.7560975609756098
16,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
16,2,HER2-enriched,14.0,0.7058823529411765,0.8571428571428571,0.7741935483870968
16,3,Basal-like,131.0,0.9590163934426229,0.8931297709923665,0.924901185770751
16,4,Normal-like,44.0,0.8837209302325582,0.8636363636363636,0.8735632183908046
17,0,Luminal A,35.0,0.6976744186046512,0.8571428571428571,0.7692307692307693
17,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
17,2,HER2-enriched,14.0,0.9230769230769231,0.8571428571428571,0.888888888888889
17,3,Basal-like,131.0,0.9444444444444444,0.9083969465648855,0.9260700389105058
17,4,Normal-like,44.0,0.8478260869565217,0.8863636363636364,0.8666666666666666
18,0,Luminal A,35.0,0.7073170731707317,0.8285714285714286,0.7631578947368421
18,1,Luminal B,39.0,1.0,0.8974358974358975,0.945945945945946
18,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
18,3,Basal-like,131.0,0.9448818897637795,0.916030534351145,0.9302325581395349
18,4,Normal-like,44.0,0.8478260869565217,0.8863636363636364,0.8666666666666666
19,0,Luminal A,35.0,0.7352941176470589,0.7142857142857143,0.7246376811594202
19,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
19,2,HER2-enriched,14.0,0.8461538461538461,0.7857142857142857,0.8148148148148148
19,3,Basal-like,131.0,0.9453125,0.9236641221374046,0.9343629343629344
19,4,Normal-like,44.0,0.7407407407407407,0.9090909090909091,0.8163265306122449
20,0,Luminal A,35.0,0.6744186046511628,0.8285714285714286,0.7435897435897435
20,1,Luminal B,39.0,1.0,0.8717948717948718,0.9315068493150686
20,2,HER2-enriched,14.0,0.8571428571428571,0.8571428571428571,0.8571428571428571
20,3,Basal-like,131.0,0.9576271186440678,0.8625954198473282,0.9076305220883534
20,4,Normal-like,44.0,0.7777777777777778,0.9545454545454546,0.8571428571428572
