rank,feature_index,target_label,target_subtype,target_n,other_n,target_mean,other_mean,target_minus_others,specificity_z,p_value,fdr,feature_name,gene_symbol,entrez_id
1,574,2,HER2-enriched,46,829,0.5471683264409224,0.4570112012188673,0.0901571252220551,1.8908715277091916,,,MPHOSPH6|10200,MPHOSPH6,10200
2,449,2,HER2-enriched,46,829,0.1666918747184877,0.05022514521756093,0.11646672950092676,1.574174830552719,,,ISL2|64843,ISL2,64843
3,844,2,HER2-enriched,46,829,0.5006558016683522,0.2982116710970932,0.20244413057125904,1.509742578438238,,,SOX11|6664,SOX11,6664
4,11,2,HER2-enriched,46,829,0.29113685755361796,0.15687207954608007,0.1342647780075379,1.0697812017266093,,,ACE2|59272,ACE2,59272
5,558,2,HER2-enriched,46,829,0.13109730385862603,0.04954453606459707,0.08155276779402895,1.0181595906771943,,,MDGA2|161357,MDGA2,161357
6,854,2,HER2-enriched,46,829,0.5013928585731819,0.43734861632401273,0.06404424224916921,1.0129576963250946,,,SRD5A1|6715,SRD5A1,6715
7,149,2,HER2-enriched,46,829,0.5041730725699444,0.40489591991564106,0.09927715265430331,1.00672338532511,,,CBX2|84733,CBX2,84733
8,280,2,HER2-enriched,46,829,0.42410724499138913,0.362267537668107,0.061839707323282145,0.9965848375204405,,,DNMT3B|1789,DNMT3B,1789
9,98,2,HER2-enriched,46,829,0.5503308150574777,0.517724745890551,0.032606069166926765,0.9633772058611596,,,C16orf57|79650,C16ORF57,79650
10,957,2,HER2-enriched,46,829,0.2739252239317972,0.19546238366849128,0.07846284026330591,0.9581806595959601,,,ULBP2|80328,ULBP2,80328
11,707,2,HER2-enriched,46,829,0.5876408760480323,0.5604231327546995,0.02721774329333282,0.9360237273073045,,,PSMD14|10213,PSMD14,10213
12,192,2,HER2-enriched,46,829,0.4800455207622684,0.4312253370944283,0.048820183667840134,0.9352031410409608,,,CENPN|55839,CENPN,55839
13,818,2,HER2-enriched,46,829,0.5215284947310306,0.49102108180888615,0.030507412922144428,0.9317044657174282,,,SLC25A13|10165,SLC25A13,10165
14,705,2,HER2-enriched,46,829,0.46970003408356176,0.3611091279627322,0.10859090612082956,0.916527829225049,,,PSAT1|29968,PSAT1,29968
15,105,2,HER2-enriched,46,829,0.502048575812591,0.3822236144084304,0.1198249614041606,0.90438079743961,,,C1orf106|55765,C1ORF106,55765
16,281,2,HER2-enriched,46,829,0.4708795402048166,0.42877249358731634,0.042107046617500254,0.8821374170281265,,,DONSON|29980,DONSON,29980
17,376,2,HER2-enriched,46,829,0.6319554773066204,0.6032375262335851,0.02871795107303532,0.8691237636023834,,,GARS|2617,GARS,2617
18,708,2,HER2-enriched,46,829,0.6431030197117054,0.6115798127201726,0.03152320699153277,0.8643051130455925,,,PSME4|23198,PSME4,23198
