method,subtype_id,subtype,support,precision,recall,f1
TRIGEL,0,Normal-like,35.0,0.6930988525319287,0.8371428571428572,0.7559216147592382
TRIGEL,1,Basal-like,39.0,0.9986111111111112,0.885897435897436,0.9387976675305444
TRIGEL,2,HER2-enriched,14.0,0.863994828700711,0.85,0.8557262331455879
TRIGEL,3,Luminal A,131.0,0.9449800707882938,0.8992366412213741,0.9213237389960892
TRIGEL,4,Luminal B,44.0,0.8230362511123962,0.8806818181818181,0.8490819410264333
MOHGCN,0,Normal-like,35.0,0.625,0.8571428571428571,0.7228915662650602
MOHGCN,1,Basal-like,39.0,0.9714285714285714,0.8717948717948718,0.918918918918919
MOHGCN,2,HER2-enriched,14.0,1.0,0.8571428571428571,0.9230769230769231
MOHGCN,3,Luminal A,131.0,0.9307692307692308,0.9236641221374046,0.9272030651340997
MOHGCN,4,Luminal B,44.0,0.9473684210526315,0.8181818181818182,0.8780487804878049
