pathName,Hit Ratio,Pvalue,metabolit,count,Term,Category,LogP,FDR_qvalue
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CCNE1,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CDC6,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CDC25A,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CDC25B,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CENPA,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CHEK1,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,MCM6,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,MYBL2,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,ORC1,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,POLR2D,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,PSMB2,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,RAD51,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,RFC2,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,AURKA,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CDC45,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CCNB2,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,NUP93,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,PSMD14,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,DBF4,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,NCAPH,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,ORC6,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,MCM10,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CENPN,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,GINS3,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CENPO,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,TUBA1C,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,TICRR,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,SGO1,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
Cell Cycle,0.0420899854862119,2.462277614097786e-24,TUBB,29,R-HSA-1640170,Reactome Gene Sets,-23.6086629833,5.178908505355607e-20
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CCNE1,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CDC6,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CDC25A,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CDC25B,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CENPA,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,MCM6,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,MYBL2,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,ORC1,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,PSMB2,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,RFC2,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,AURKA,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CDC45,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CCNB2,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,NUP93,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,PSMD14,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,DBF4,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,NCAPH,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,ORC6,26,R-HSA-69278,Reactome Gene Sets,-22.2645344303,5.719219909397458e-19
